id,ccr_codigo,amostra,substrato,cidade,uf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
306,UFT.2014(L)7872,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,w,-,w,+,-,-,+,-,-,-,-,-,+,+,-,+,-,,-,+,w,-,-,-,-,-,-,-,-,-,w,-,-,-,,,,-,w,-,+,,,-,-,+,+,-,,+,-,,,,,
307,UFT.2014(L)7873,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,+,+,+,,+,+,-,+,w,+,,w,+,+,w,-,-,-,+,-,+,w,,+,-,+,w,-,+,+,-,-,-,-,-,-,-,-,+,+,+,,,+,-,+,+,+,,+,+,,,,,
308,UFT.2014(L)7876,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,-,+,-,-,-,-,-,-,-,-,,-,+,-,-,-,-,-,+,-,-,-,,-,-,-,w,+,+,+,+,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,-,,-,-,,,,,
309,UFT.2014(L)7877,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,+,+,+,,+,+,-,-,-,+,,-,+,-,-,-,-,-,+,w,+,-,,+,-,+,+,+,+,+,+,-,-,-,-,-,-,-,+,-,+,,,+,-,+,+,+,,-,-,,,,,
310,UFT.2014(L)7878,ANA.TAQ.001.037,Fruto de Buriti,Palmas,TO,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
311,UFT.2014(L)7977,ANA.TAQ.001.038,Fruto de Buriti,Palmas,TO,,+,+,+,,+,+,-,-,w,+,,-,+,-,-,+,-,-,+,-,+,-,,+,-,+,+,-,+,+,-,+,-,-,-,-,-,-,+,+,+,,,+,+,+,+,+,,-,-,,,,,
312,UFT.2014(L)7910,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,+,+,-,+,-,-,-,-,-,-,-,-,-,w,-,+,-,,w,-,-,w,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,-,-,-
313,UFT.2014(L)6732,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,w,-,+,,-,+,+,+,-,-,-,+,-,+,w,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,-,-,+,+,-,,+,+,,,,,
314,UFT.2014(L)6754,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,w,+,+,w,w,+,+,-,+,+,,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
315,UFT.2014(L)6761,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,-,-,-,,-,-,-,-,-,-,,-,+,+,-,-,-,-,+,-,+,-,,+,-,-,+,+,+,-,+,+,-,-,-,-,-,-,w,+,+,,,-,-,+,+,+,,+,+,,,,,
316,UFT.2014(L)6784,ANA.CAN.001.037,Fruto de Buriti,Pium,TO,,+,+,+,+,-,-,,-,-,+,-,-,+,+,w,-,-,,+,-,+,w,+,+,-,+,+,-,+,+,-,-,-,-,,,,-,+,+,+,,,-,-,+,+,-,,+,+,,,,,
317,UFT.2014(L)6872,ANA.CAN.001.038,Fruto de Buriti,Pium,TO,,+,+,+,+,+,+,-,+,+,+,-,w,+,+,w,+,w,,+,-,+,+,+,+,+,+,-,w,+,+,-,-,w,+,w,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
318,UFT.2014(L)7159,ANA.TAG.001.019,Fruto de Buriti,Taguatinga,TO,,w,+,+,+,+,+,-,-,-,+,,-,+,-,-,-,-,-,+,-,+,-,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,+,,-,+,,,-,-,+,+,-,,-,-,,,,,
319,UFT.2014(L)7248,ANA.TAG.001.019,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,-,+,-,-,+,-,-,+,+,w,-,-,,+,-,+,-,+,+,w,+,+,-,+,+,-,-,-,-,,,,w,+,-,+,,,-,-,+,+,-,,-,-,,,,,
320,UFT.2014(L)7272,ANA.TAG.001.019,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,,+,+,-,w,+,+,w,-,w,,+,-,+,w,+,+,+,+,w,w,+,+,-,-,+,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
321,UFT.2014(L)7359,ANA.TAG.001.019,Fruto de Buriti,Taguatinga,TO,,+,+,+,+,+,+,-,-,-,+,-,-,+,-,-,-,-,,+,-,+,-,+,+,-,+,+,-,+,+,-,-,-,-,,,,w,+,-,+,,,-,-,+,+,-,-,-,-,+,+,-,-,-
322,UFT.2014(L)7735,ANA.TAQ.001.039,Fruto de Buriti,Palmas,TO,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,w,+,+,+,+,-,-,-,-,-,-,,,-,-,,,-,-,+,+,-,,-,-,,,,,
