,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
UFT.2014(L)6745,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,+,+,-,+,+,-,+,w,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,+,+,-
UFT.2014(L)6746,,+,+,+,+,+,+,-,,+,+,-,+,+,w,-,-,-,,+,-,+,w,+,+,+,+,+,w,+,+,-,-,+,+,-,+,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,-,-,-
UFT.2014(L)6747,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6750,,+,+,+,+,+,+,-,-,-,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6753,,+,+,+,+,+,+,-,w,-,+,,-,+,+,+,-,-,-,+,-,+,+,,+,w,+,+,+,+,+,+,w,-,-,-,-,-,,,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)6754,,+,+,+,+,+,+,-,w,+,+,w,w,+,+,-,+,+,,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
UFT.2014(L)6757,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6759,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFT.2014(L)6760,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6761,,-,-,-,,-,-,-,-,-,-,,-,+,+,-,-,-,-,+,-,+,-,,+,-,-,+,+,+,-,+,+,-,-,-,-,-,-,w,+,+,,,-,-,+,+,+,,+,+,,,,,
UFT.2014(L)6762,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6768,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6776,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6782,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)6784,,+,+,+,+,-,-,,-,-,+,-,-,+,+,w,-,-,,+,-,+,w,+,+,-,+,+,-,+,+,-,-,-,-,,,,-,+,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)6790,,+,+,+,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,-,+,+
UFT.2014(L)6792,,+,+,+,+,+,+,-,w,+,+,-,-,+,+,+,+,-,+,+,-,+,w,+,+,+,+,+,-,+,+,-,-,+,+,-,w,-,+,+,+,+,,,-,-,+,+,-,-,+,+,-,+,+,-,-
UFT.2014(L)6793,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,w,-,+,-,-,-,-,-,-,-,-,+,-,+,-,,,-,-,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)6794,,-,+,-,-,-,-,-,-,,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,+,+,-,+,-,-
UFT.2014(L)6795,,+,+,+,+,+,+,-,+,+,+,w,+,+,+,+,+,-,+,+,-,+,,+,+,,+,+,-,+,+,+,+,+,+,-,-,-,+,+,+,+,,,-,-,+,+,+,-,+,+,-,-,+,+,+
UFT.2014(L)6796,,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,+,+,+,-,-,+,+,+,-,-,-,+,+,+,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)6797,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,-,-,+,+,+,,,+,+,+,+,+,-,-,-,-,+,+,-,-
UFT.2014(L)6800,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,+,-,-
UFT.2014(L)6807,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6808,,+,+,+,+,+,+,-,+,-,+,,-,+,+,+,-,-,-,+,-,+,+,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)6809,,+,-,+,+,+,+,-,-,+,+,+,-,+,-,-,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)6811,,+,+,+,+,w,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6815,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6817,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,+,+,+,+,-,+,-,-,-,-,+,-,+,+,,,+,-,+,+,-,-,-,-,-,-,+,+,+
UFT.2014(L)6819,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6820,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6822,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6824,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6828,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6831,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6833,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6837,,+,+,+,+,+,+,-,,,+,-,w,+,w,-,-,-,,+,-,+,-,+,+,+,+,+,w,+,+,-,-,-,+,-,w,-,w,+,-,+,,,-,-,+,+,-,-,-,-,-,-,+,-,-
UFT.2014(L)6846,,+,-,+,,+,-,-,-,-,+,,+,+,-,-,-,+,-,-,-,+,-,,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,,-,-,,,,,
UFT.2014(L)6849,,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,,+,+,+,+,+,+,+,+,+,-,+,-,+,+,w,+,+,-,-,+,+,-,+,,,+,+,+,+,-,+,-,-,-,+,-,-,-
UFT.2014(L)6867,,+,-,+,+,+,+,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-,+,+,+,+,-,-,+,+,-,-,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,+,-,-,+,+,-,-
UFT.2014(L)6870,,+,+,+,,+,+,-,+,-,+,,-,+,+,w,-,+,-,+,w,+,w,,+,-,+,+,-,+,w,+,-,-,-,-,-,-,-,+,+,+,,,-,-,+,+,+,,+,+,,,,,
