,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
UFT.2014(L)7883,,-,-,-,+,-,-,-,-,+,-,,-,-,-,w,-,-,-,+,-,-,-,,-,-,-,+,+,+,+,+,-,-,-,-,-,-,,,-,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7887,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7888,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7889,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7890,,-,-,-,,+,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,w,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,,,-,-,+,+,+,,-,-,,,,,
UFT.2014(L)7891,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7892,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,w,-,-,+,-,+,-,+,+,+,,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7893,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7894,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7896,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7897,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7898,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7899,,+,+,+,+,+,+,-,-,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7900,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7901,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7902,,+,-,+,+,+,+,-,-,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7904,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7905,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7906,,+,-,+,+,+,+,-,-,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7907,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7908,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7909,,-,+,-,+,+,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7910,,+,+,-,+,-,-,-,-,-,-,-,-,-,w,-,+,-,,w,-,-,w,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,-,-,-,-
UFT.2014(L)7916,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7917,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7918,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7919,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7920,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7921,,-,+,-,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,+,+,+,+
UFT.2014(L)7922,,-,-,-,-,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7923,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7924,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7925,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7928,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7930,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7931,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7932,,-,+,-,+,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7933,,+,+,+,+,+,+,-,+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7934,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
UFT.2014(L)7935,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,+,+,+,+,+,+,-,+,+,+,+,+,-,+,+,-,-,+,+,-,-,-,+,+,-,+,,,-,-,+,+,-,-,-,-,-,+,+,+,-
UFT.2014(L)7936,,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,w,+,+,+,-,-,-,+,-,+,-,-,-,-,+,,,-,-,+,+,-,-,+,-,-,+,-,-,-
UFT.2014(L)7937,,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)7938,,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,-,,-,,,,,,
UFT.2014(L)7939,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,+,-,-
UFT.2014(L)7940,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,+,-,+,+,+,-,+,+,+,-,-,+,-,+,-,+,-,-,+,+,+,,,+,-,+,+,-,-,-,-,+,+,+,-,-
UFT.2014(L)7941,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7942,,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,+,-,,-,+,+,-,+,+,-,-,+,+,+,+,-,-,-,-,,,,-,+,+,+,,,+,+,+,+,-,,-,-,,,,,
UFT.2014(L)7943,,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,+,,,,,,,,,,,,,,,
UFT.2014(L)7944,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7945,,+,-,+,+,+,+,-,-,+,+,-,-,+,-,,-,+,+,-,-,+,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,,,-,-,+,+,+,-,-,-,-,+,+,-,
UFT.2014(L)7946,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,,+,+,-,+,+,-,-,+,,+,-,-,-,-,+,-,-,-,-,-,+,+,,,+,+,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)7947,,+,+,+,+,+,+,-,w,-,+,,-,+,+,+,-,-,-,+,-,+,w,,+,w,+,+,-,+,+,+,w,w,-,-,-,-,-,,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)7949,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,+,+,,,,+,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7950,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7951,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,w,-,+
UFT.2014(L)7952,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7953,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7954,,+,+,+,+,+,+,-,w,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7956,,w,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,-,+,+,+,+,+,+,+,+,-,+,-,-,-,-,-,+,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,-
UFT.2014(L)7957,,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,-,+,+,+,-,+,+,+,-,-,+,-,+,-,-,-,-,+,+,+,,,+,+,+,+,-,-,-,-,+,-,+,-,+
UFT.2014(L)7958,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,w,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,-,-,-,+,-,+,+,+,+,,,+,+,+,+,-,-,-,+,+,+,+,+,-
UFT.2014(L)7959,,-,+,+,-,+,+,-,-,-,+,-,-,+,-,-,+,-,-,-,+,+,-,+,+,-,-,-,+,+,+,-,-,-,+,-,-,-,+,+,+,+,,,+,+,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)7961,,-,+,-,-,-,-,-,-,-,-,w,-,+,w,-,-,-,+,w,-,-,,-,-,,w,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7962,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7963,,-,+,-,-,-,-,-,-,-,,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)7964,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7965,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,,-,-,,,,,
UFT.2014(L)7966,,+,+,+,,+,-,-,-,w,+,,+,+,+,-,-,-,-,+,-,+,-,,+,-,+,+,-,w,+,-,-,-,-,-,-,-,-,+,-,+,,,-,-,+,+,+,,+,+,,,,,
UFT.2014(L)7967,,+,-,+,+,+,+,+,-,-,+,-,-,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)7968,,+,-,+,+,+,+,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7969,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,+,-,-,+,w,-,-
UFT.2014(L)7970,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,+,-
UFT.2014(L)7971,,-,-,-,,+,-,-,-,-,-,,-,+,+,-,-,-,-,-,-,-,-,,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,+,-,+,+,+,,+,+,,,,,
UFT.2014(L)7972,,-,+,-,-,-,-,-,-,-,-,,-,+,-,-,-,-,-,+,-,-,-,,-,-,-,w,+,+,+,+,-,-,-,-,-,-,-,,-,-,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7973,,+,+,+,+,+,+,-,,+,+,-,w,+,+,w,w,-,,+,-,+,w,+,+,+,+,w,w,+,+,-,-,w,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
UFT.2014(L)7974,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,,,,-,+,+,-,,,+,+,+,+,-,,-,+,,,,,
UFT.2014(L)7977,,+,+,+,,+,+,-,-,w,+,,-,+,-,-,+,-,-,+,-,+,-,,+,-,+,+,-,+,+,-,+,-,-,-,-,-,-,+,+,+,,,+,+,+,+,+,,-,-,,,,,
UFT.2014(L)7980,,+,-,-,+,-,w,-,-,w,-,-,-,+,+,-,w,-,,+,-,-,w,-,-,-,-,+,+,+,+,-,-,+,-,-,+,-,-,+,-,+,,,-,-,+,+,-,-,-,-,-,+,+,-,-
UFT.2014(L)7982,,+,w,+,+,+,+,-,+,+,+,,-,+,+,w,w,-,-,w,-,+,+,,+,+,+,+,-,+,+,+,w,-,-,-,-,-,,,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)7983,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7984,,w,+,+,+,+,+,-,-,+,+,,-,+,+,+,+,+,-,+,+,+,+,,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,,-,+,,,-,-,+,+,-,,-,-,,,,,
UFT.2014(L)7985,,+,+,+,+,+,+,-,-,-,+,,-,+,+,+,w,-,-,+,-,+,w,,+,w,+,+,-,+,+,+,w,-,-,-,-,-,-,,+,+,,,-,-,+,+,-,,+,+,,,,,
UFT.2014(L)7987,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7988,,+,-,+,+,+,+,-,-,+,+,+,-,+,+,-,-,+,+,+,-,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,-,+,+,-,-
UFT.2014(L)7989,,-,-,-,-,-,-,-,-,-,-,-,,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,+,+
UFT.2014(L)7991,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7992,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7993,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7995,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7996,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7997,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)7999,,+,+,+,+,+,+,+,-,+,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,+,,,,,,,,,,,
UFT.2014(L)8000,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)8001,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)8002,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)8003,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)8004,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)8022,,+,+,+,+,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)8023,,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,+,+,-,+,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,,,-,-,+,+,-,-,-,-,+,+,+,-,-
UFT.2014(L)8024,,-,-,-,-,+,-,-,-,-,-,-,,+,-,-,+,-,-,+,+,+,-,+,+,-,+,+,+,+,+,-,-,-,+,-,-,-,-,+,+,+,,,+,+,+,+,+,-,-,-,+,+,+,-,-
UFT.2014(L)8026,,+,w,w,,w,-,-,-,-,-,,-,+,w,-,-,-,-,+,-,+,-,,w,-,w,-,+,+,+,-,-,-,-,-,-,-,-,w,-,+,,,+,-,+,+,+,,-,+,,,,,
UFT.2014(L)8027,,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)8028,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)8029,,+,+,+,+,+,+,-,+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)816,,-,+,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2015(L)7561,,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,-,-,+,+,+,+,+,+,+,+,,+,+,-,-,+,+,-,-,-,+,-,-,,+,-,+,+,+,+,-,-,-,+,-,-,,-,-
UFT.2015(L)7562,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,,+,-,+,+,+,+,-,-,-,-,-,-,,-,-
UFT.2015(L)7570,,+,+,+,-,+,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,+,+,-,-,+,-,-,+,+,+,,-,+,-,-,-,+,-,-,,+,-,+,-,-,-,-,,-,-,-,-,,-,-
UFT.2015(L)7572,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,,+,-,-,-,-,-,-,-,-,-,-,-,,-,-
UFT.2015(L)7574,-,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,-,-,-,+,+,+,+,+,+,+,+,,+,-,-,-,-,+,-,-,-,+,+,+,,+,-,-,-,-,-,-,-,-,-,-,-,,-,-
UFT.2015(L)7575,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-,-,+,-,+,+,+,+,+,+,-,+,+,+,+,+,-,-,+,+,+,-,-,-,+,-,,+,-,-,-,+,+,-,-,-,-,-,-,,+,+
UFT.2015(L)7576,s,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
UFT.2015(L)7577,s,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,+,-,,+,-,+,-,+,+,-,-,+,+,-,-,,-,-
UFT.2015(L)7578,-,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,+,,+,-,-,-,-,+,-,-,-,+,+,+,,+,-,-,-,-,-,-,-,-,-,-,-,,-,-
UFT.2015(L)7579,-,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,+,+,+,,+,-,-,-,-,+,-,-,-,-,+,+,,+,-,-,-,-,-,-,-,-,-,-,-,,-,-
UFT.2015(L)7580,,+,+,-,+,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,+,-,+,+,-,+,,+,,-,+,-,-,-,+,-,+,,+,-,+,+,+,-,-,,-,-,-,-,,-,-
UFT.2015(L)7594,,+,-,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,-,+,-,+,+,+,-,-,+,-,+,,+,,+,+,-,-,-,+,+,-,,+,-,+,+,+,+,-,,-,-,-,-,,-,-
UFT.2015(L)7700,s,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,+,-,,+,-,+,-,+,+,-,-,+,+,-,-,,-,-
UFT.2015(L)7704,s,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,-,+,-,+,+,-,+,-,-,-,+,+,-,,+,-,+,+,+,+,-,+,+,+,-,+,,-,-
UFT.2015(L)7706,w,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,+,-,+,-,+,+,-,+,+,-,+,-,-,-,-,-,-,-,-,+,+,+,,+,-,-,-,+,+,-,-,-,-,-,-,,-,-
UFT.2015(L)7710,,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,-,-,-,+,+,+,+,+,+,-,+,-,+,,+,,-,+,-,-,-,+,-,-,,+,-,+,+,+,-,-,,-,-,-,-,,-,-
UFT.2015(L)7713,s,+,+,+,+,+,+,-,,+,,-,-,+,+,+,+,+,-,-,+,+,+,+,+,-,-,+,-,+,+,+,-,+,-,-,+,-,+,+,-,,+,-,-,+,+,+,-,-,-,-,-,-,,-,-
UFT.2015(L)7787,+,+,+,+,+,+,+,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,-,+,-,,+,-,-,-,+,+,-,-,+,+,-,-,,+,+
UFT.2015(L)7788,+,+,+,+,+,+,+,-,-,+,+,-,-,+,+,-,-,+,-,-,-,+,-,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,-,+,+,,+,-,-,-,+,+,-,-,+,+,-,+,,+,+
UFT.2015(L)7789,s,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,+,+,-,-,-,-,-,-,+,-,+,-,,+,-,-,-,+,+,-,-,-,-,-,-,,+,+
UFT.2015(L)7791,s,+,+,+,+,+,+,-,+,+,+,-,-,+,+,+,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,-,+,+,-,-,-,+,+,-,,+,-,-,+,+,+,-,-,+,-,-,-,,-,-
UFT.2015(L)7792,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,+,-,,+,-,-,+,+,+,-,-,-,-,-,-,,+,+
UFT.2015(L)7793,w,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,+,-,,+,-,+,+,+,+,-,-,-,-,-,+,,-,-
UFT.2015(L)7794,s,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,-,+,+,+,+,-,-,-,+,+,-,,+,-,+,+,+,+,-,+,+,+,-,+,,-,-
UFT.2015(L)7795,w,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,+,-,,+,-,+,+,+,+,-,+,+,+,-,+,,-,-
UFT.2015(L)7796,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,-,-,+,+,+,+,+,+,+,+,-,+,-,+,+,-,+,-,-,-,+,+,-,,+,-,-,+,+,+,-,+,+,+,-,+,,-,-
UFT.2015(L)7874,,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,-,-,+,,+,,-,-,-,-,-,-,+,-,,+,-,-,-,+,+,-,,-,-,-,-,,+,-
